timestamp_close,symbol,session,strategy,regime,entry_price,exit_price,qty,stop_loss,take_profit,hold_bars,exit_reason,gross_pnl,gross_pnl_pct,is_win,risk_distance,reward_distance,rr_ratio,achieved_rr,rsi,macd_hist,adx,atr_pct,vwap_dist_pct,ema_diff_pct,vol_ratio,zscore_vwap
2026-02-28T01:35:37.240096+00:00,CVX,4,?,MOMENTUM,155.905,163.565,3.2071,153.5664,160.5822,1,STOP_LOSSTAKE_PROFITSTOP_LOSS,24.5664,4.9132,1,2.3386,4.6772,2.0,3.275,66.35,-0.022455,23.86,0.0913,1.8942,0.0812,1.0,0
2026-02-28T01:43:42.058228+00:00,CVX,4,?,MOMENTUM,155.905,163.565,3.2071,153.5664,160.5822,1,STOP_LOSSTAKE_PROFITSTOP_LOSS,24.5664,4.9132,1,2.3386,4.6772,2.0,3.275,66.35,-0.022455,23.86,0.0913,1.8942,0.0812,1.0,0
2026-02-28T01:55:25.150716+00:00,CVX,4,?,MOMENTUM,155.905,163.565,3.2071,153.5664,160.5822,1,STOP_LOSSTAKE_PROFITSTOP_LOSS,24.5664,4.9132,1,2.3386,4.6772,2.0,3.275,66.35,-0.022455,23.86,0.0913,1.8942,0.0812,1.0,0
2026-02-28T02:06:32.844781+00:00,CVX,4,?,MOMENTUM,155.905,163.565,3.2071,153.5664,160.5822,1,STOP_LOSSTAKE_PROFITSTOP_LOSS,24.5664,4.9132,1,2.3386,4.6772,2.0,3.275,66.35,-0.022455,23.86,0.0913,1.8942,0.0812,1.0,0
2026-02-28T02:11:10.560548+00:00,CVX,4,?,MOMENTUM,155.905,163.565,3.2071,153.5664,160.5822,1,STOP_LOSSTAKE_PROFITSTOP_LOSS,24.5664,4.9132,1,2.3386,4.6772,2.0,3.275,66.35,-0.022455,23.86,0.0913,1.8942,0.0812,1.0,0
2026-02-28T02:25:49.758363+00:00,CVX,4,?,MOMENTUM,155.905,163.565,3.2071,153.5664,160.5822,1,STOP_LOSSTAKE_PROFITSTOP_LOSS,24.5664,4.9132,1,2.3386,4.6772,2.0,3.275,66.35,-0.022455,23.86,0.0913,1.8942,0.0812,1.0,0
2026-02-28T02:36:01.051077+00:00,CVX,4,?,MOMENTUM,155.905,163.565,3.2071,153.5664,160.5822,1,STOP_LOSSTAKE_PROFITSTOP_LOSS,24.5664,4.9132,1,2.3386,4.6772,2.0,3.275,66.35,-0.022455,23.86,0.0913,1.8942,0.0812,1.0,0
2026-02-28T02:46:28.733046+00:00,CVX,4,?,MOMENTUM,155.905,163.565,3.2071,153.5664,160.5822,1,STOP_LOSSTAKE_PROFITSTOP_LOSS,24.5664,4.9132,1,2.3386,4.6772,2.0,3.275,66.35,-0.022455,23.86,0.0913,1.8942,0.0812,1.0,0
2026-02-28T02:49:09.052541+00:00,CVX,4,?,MOMENTUM,155.905,163.565,3.2071,153.5664,160.5822,1,STOP_LOSSTAKE_PROFITSTOP_LOSS,24.5664,4.9132,1,2.3386,4.6772,2.0,3.275,66.35,-0.022455,23.86,0.0913,1.8942,0.0812,1.0,0
2026-02-28T02:58:24.794833+00:00,CVX,4,?,MOMENTUM,155.905,163.565,3.2071,153.5664,160.5822,1,STOP_LOSSTAKE_PROFITSTOP_LOSS,24.5664,4.9132,1,2.3386,4.6772,2.0,3.275,66.35,-0.022455,23.86,0.0913,1.8942,0.0812,1.0,0
2026-02-28T03:06:00.089527+00:00,CVX,4,?,MOMENTUM,155.905,163.565,3.2071,153.5664,160.5822,1,STOP_LOSSTAKE_PROFITSTOP_LOSS,24.5664,4.9132,1,2.3386,4.6772,2.0,3.275,66.35,-0.022455,23.86,0.0913,1.8942,0.0812,1.0,0
2026-02-28T03:15:40.751183+00:00,META,5,?,TREND_UP,645.955,665.53,0.774,636.2657,665.3337,69,STOP_LOSSTAKE_PROFITSTOP_LOSS,15.151,3.0304,1,9.6893,19.3787,2.0,2.02,61.13,-0.544655,40.98,0.1713,3.946,0.1957,1.0,0
